step,energy_per_site
0.000000000000000000e+00,1.124637851472743755e+00
5.000000000000000000e+05,7.360571610375530316e-01
1.000000000000000000e+06,6.833796482195408917e-01
1.500000000000000000e+06,6.731612609329682417e-01
2.000000000000000000e+06,6.682999463598965351e-01
2.500000000000000000e+06,6.705852046308873327e-01
3.000000000000000000e+06,6.686191336791443840e-01
3.500000000000000000e+06,6.608369424008266879e-01
4.000000000000000000e+06,6.663644755641955353e-01
4.500000000000000000e+06,6.669625506057427211e-01
5.000000000000000000e+06,6.633211195232612267e-01
