x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,-4.804212040859500155e-01
1.000000000000000000e+00,0.000000000000000000e+00,-5.230187899574664234e-01
2.000000000000000000e+00,0.000000000000000000e+00,4.269955419272981612e-01
3.000000000000000000e+00,0.000000000000000000e+00,1.835634721105761091e-01
4.000000000000000000e+00,0.000000000000000000e+00,1.903986689399436161e-01
5.000000000000000000e+00,0.000000000000000000e+00,-2.118811920155060369e-01
6.000000000000000000e+00,0.000000000000000000e+00,3.185748458386020721e-01
7.000000000000000000e+00,0.000000000000000000e+00,-2.322959300226174473e-01
8.000000000000000000e+00,0.000000000000000000e+00,4.435185735866499224e-01
9.000000000000000000e+00,0.000000000000000000e+00,4.154962712117235002e-01
1.000000000000000000e+01,0.000000000000000000e+00,4.258208382516142088e-01
1.100000000000000000e+01,0.000000000000000000e+00,-4.725415948825841816e-01
1.200000000000000000e+01,0.000000000000000000e+00,2.353746780011837236e-01
1.300000000000000000e+01,0.000000000000000000e+00,3.310855408540933631e-01
1.400000000000000000e+01,0.000000000000000000e+00,2.426451283619596166e-01
1.500000000000000000e+01,0.000000000000000000e+00,4.698341547827018516e-01
1.600000000000000000e+01,0.000000000000000000e+00,1.427607374305200905e-01
1.700000000000000000e+01,0.000000000000000000e+00,2.250825149682155191e-01
1.800000000000000000e+01,0.000000000000000000e+00,-5.345999159524322808e-02
1.900000000000000000e+01,0.000000000000000000e+00,1.708853557403881007e-01
2.000000000000000000e+01,0.000000000000000000e+00,4.448131217064880127e-01
2.100000000000000000e+01,0.000000000000000000e+00,4.921732795160490559e-01
2.200000000000000000e+01,0.000000000000000000e+00,-4.510994373432505311e-01
2.300000000000000000e+01,0.000000000000000000e+00,-3.656531283151959189e-02
2.400000000000000000e+01,0.000000000000000000e+00,1.113998034281246108e-01
2.500000000000000000e+01,0.000000000000000000e+00,2.464578478838485021e-01
2.600000000000000000e+01,0.000000000000000000e+00,4.045552800549065964e-01
2.700000000000000000e+01,0.000000000000000000e+00,3.870352512726339400e-01
2.800000000000000000e+01,0.000000000000000000e+00,3.647143063457075618e-01
2.900000000000000000e+01,0.000000000000000000e+00,4.184040596872075080e-01
3.000000000000000000e+01,0.000000000000000000e+00,4.159224121115192574e-01
3.100000000000000000e+01,0.000000000000000000e+00,-4.579258867079994966e-01
5.000000000000000000e-01,8.660254037844385966e-01,1.484272849753287549e-01
1.500000000000000000e+00,8.660254037844385966e-01,4.288327920007088956e-01
2.500000000000000000e+00,8.660254037844385966e-01,4.006690449494049178e-01
3.500000000000000000e+00,8.660254037844385966e-01,4.816421404178065080e-01
4.500000000000000000e+00,8.660254037844385966e-01,2.679037419856111768e-01
5.500000000000000000e+00,8.660254037844385966e-01,2.155247554108756791e-01
6.500000000000000000e+00,8.660254037844385966e-01,4.172570278718527037e-01
7.500000000000000000e+00,8.660254037844385966e-01,4.101115921035549672e-01
8.500000000000000000e+00,8.660254037844385966e-01,4.561472029230956293e-01
9.500000000000000000e+00,8.660254037844385966e-01,4.072639755520622851e-01
