r,G,G_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,4.644560020766350661e-01,5.986543281146541363e-03
1.938934911242604642e+00,3.109979358781905234e-01,5.804670505946169998e-03
2.885680473372783439e+00,2.287544116530678961e-01,4.802650181814934090e-03
3.817278106508876334e+00,1.721064804319047126e-01,3.809448014770355946e-03
4.733727810650883328e+00,1.353755208262062137e-01,2.505014850813059614e-03
5.635029585798818630e+00,1.077106197395473752e-01,2.471585315226191171e-03
6.521183431952664478e+00,8.841653670791482789e-02,2.448992865338579968e-03
7.392189349112427976e+00,7.056507360791731964e-02,2.853670660616817317e-03
8.248047337278105573e+00,4.976804364714938061e-02,3.154072147256878952e-03
9.088757396449704373e+00,2.808210417697970529e-02,2.168458269818259593e-03
9.914319526627220824e+00,7.133817033782705562e-03,1.435609934494239169e-03
1.072473372781065137e+01,-1.127099518583231028e-02,1.215398389646168108e-03
1.151999999999999602e+01,-2.731922337978041904e-02,1.346889859398163296e-03
1.230011834319526542e+01,-4.373037973079136470e-02,1.744934947278383624e-03
1.306508875739645248e+01,-5.416391022674350159e-02,2.595339585364879291e-03
1.381491124260355008e+01,-6.109059135053861861e-02,3.520221715893750557e-03
1.454958579881656533e+01,-6.529923754991945328e-02,3.201857599234593597e-03
1.526911242603550534e+01,-6.493188190814462579e-02,4.212659245601812000e-03
1.597349112426035944e+01,-6.642927620410737921e-02,3.383616939465404656e-03
1.666272189349112409e+01,-5.999580326241263362e-02,3.528791837747494511e-03
1.733680473372780995e+01,-6.008613880399001073e-02,2.644797473442072385e-03
1.799573964497041345e+01,-5.244453722158076009e-02,2.416099561592313996e-03
1.863952662721893816e+01,-4.175747971224829519e-02,1.979765280323011849e-03
1.926816568047337341e+01,-2.664161454457076791e-02,2.203164999942081037e-03
1.988165680473372632e+01,-3.556813192635222692e-02,2.569680502383036181e-03
2.048000000000000043e+01,-3.034588511188402241e-02,1.566604811319612708e-03
2.106319526627219219e+01,-1.099982997558254620e-02,1.604582738456857742e-03
2.163124260355029804e+01,-2.279440787663977383e-02,2.392900953964435112e-03
2.218414201183431800e+01,-2.242104245373403512e-02,2.628960602450247739e-03
2.272189349112426271e+01,-9.966015055508467557e-03,4.034912907351229615e-03
2.324449704142012152e+01,-1.465986479419007470e-02,3.571991948161329887e-03
2.375195266272189443e+01,-1.521894804988856501e-02,5.817259636958879709e-03
2.424426035502958499e+01,-1.495420090167529602e-02,3.984976875113571335e-03
2.472142011834319675e+01,-1.664097734413758425e-02,4.721275722020227932e-03
2.518343195266272261e+01,-1.211781329393420495e-02,3.887944505614552345e-03
2.563029585798816612e+01,-1.286436878947147706e-02,3.118185071159690434e-03
2.606201183431952728e+01,-1.776230400199967779e-02,2.850856232277740147e-03
2.647857988165680609e+01,2.060686153241583860e-03,4.694611345242321286e-03
2.688000000000000256e+01,-1.887794940330643489e-02,3.353824632845800544e-03
2.726627218934911312e+01,-1.363768620848758266e-03,4.999682066948601261e-03
2.763739644970414133e+01,-1.440258866246873874e-02,4.540131885003456137e-03
2.799337278106509075e+01,-4.800941256620335417e-04,3.916350917117670735e-03
2.833420118343195426e+01,-4.839283831087258687e-03,5.014271601297717179e-03
2.865988165680473543e+01,-2.033445442387662658e-02,5.111717829713991086e-03
2.897041420118343069e+01,2.640936100545403578e-02,5.210768497538920824e-03
2.926579881656804716e+01,-2.187067963921585437e-02,1.001536461265570971e-02
2.954603550295858128e+01,-1.590197543101256814e-02,7.535636408317288905e-03
2.981112426035502949e+01,1.049324286173828474e-02,6.369153569282260882e-03
3.006106508875739536e+01,2.170246887578173786e-02,1.303098107331323793e-02
3.029585798816568243e+01,-4.850987287158370354e-02,9.211791339119666799e-03
3.051550295857988360e+01,-1.232360822768482737e-02,1.284773924959143644e-02
3.071999999999999886e+01,2.195816713622677704e-02,1.246675395404390693e-02
3.090934911242603533e+01,2.757713250213547976e-02,9.764420885771316755e-03
3.108355029585798945e+01,-4.173952907675627239e-02,1.004689172466597877e-02
3.124260355029585767e+01,-6.748154755339395849e-02,8.833464046661403113e-03
3.138650887573964710e+01,1.477953940281530494e-02,1.100446008101629326e-02
3.151526627218935062e+01,1.384107514431327096e-02,1.208615807181196398e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,3.525971205576548806e-02,1.137680641998813774e-02
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,9.577051836074054747e-02,1.175901372486229390e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,7.355609577757359074e-02,8.205242229360585823e-03
