T,chi6,chi6_error
1.00000000e-05,3.33102435e-06,2.49267803e-01
1.00000000e-02,2.65580246e-03,5.01172846e-02
5.00000000e-02,4.29868484e-02,5.76562526e-01
6.00000000e-02,3.11532970e-01,1.82732341e+00
7.00000000e-02,1.04647257e-01,1.21263037e+00
8.00000000e-02,1.25172417e-01,2.52351600e+00
9.00000000e-02,1.95883405e+00,1.91662136e+00
1.00000000e-01,3.33681477e-01,3.82441330e+00
1.50000000e-01,1.13674191e+00,3.33234657e+00
1.60000000e-01,6.25299145e-01,6.11291079e+00
1.70000000e-01,6.55861692e-01,7.17064488e+00
1.80000000e-01,4.30330397e+00,4.74832849e+00
1.90000000e-01,1.53243178e+00,7.27780958e+00
2.00000000e-01,1.72840970e+00,4.90262974e+00
2.10000000e-01,1.74939924e+00,9.22022441e-01
2.20000000e-01,1.07173272e+00,1.00605711e+00
