r,r_error,G,G_error
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.999999999999960032e-01,3.347448369359225286e-17,5.146150389240572443e-01,2.732330811752742110e-03
9.999999999999988898e-01,3.347448369359225286e-17,5.153814005122535624e-01,2.487536443256050615e-03
9.999999999999998890e-01,3.347448369359225286e-17,5.186049723670101974e-01,5.527262914028328519e-03
9.999999999999998890e-01,0.000000000000000000e+00,4.939511657922114329e-01,7.285064037086478803e-03
1.000000000000000000e+00,0.000000000000000000e+00,5.104989305947570388e-01,1.293358933971633417e-03
1.000000000000000222e+00,0.000000000000000000e+00,3.373266377508637448e-01,9.933036446547615847e-03
1.000000000000000222e+00,6.694896738718450572e-17,5.324021383987275202e-01,4.231260350779313291e-03
1.000000000000001998e+00,0.000000000000000000e+00,5.166247213783408121e-01,1.460416653892405688e-03
1.732050807568874973e+00,0.000000000000000000e+00,3.771822998899574952e-01,3.853456434936826901e-03
1.732050807568876971e+00,6.694896738718450572e-17,3.937793064876281557e-01,3.198392610580544013e-03
1.732050807568877193e+00,0.000000000000000000e+00,3.465576252304336524e-01,4.325723295553254681e-03
1.732050807568877193e+00,6.694896738718450572e-17,2.473742028065722687e-01,4.360120345748920261e-03
1.732050807568878303e+00,2.008469021615535172e-16,4.021552023482954374e-01,5.092063380177928172e-03
1.732050807568878525e+00,0.000000000000000000e+00,3.767910979788545722e-01,1.391398631015906698e-03
1.732050807568882078e+00,0.000000000000000000e+00,3.642214177992377233e-01,3.828127351891232912e-03
1.999999999999997780e+00,6.694896738718450572e-17,3.471407705411007072e-01,2.357045942568571258e-03
1.999999999999999778e+00,6.694896738718450572e-17,3.967837868542213320e-01,2.519605931030739765e-03
1.999999999999999778e+00,0.000000000000000000e+00,2.713242107833868655e-01,8.203657244659011416e-03
2.000000000000000000e+00,0.000000000000000000e+00,3.395345338003459834e-01,1.206307169158077298e-03
2.000000000000000444e+00,0.000000000000000000e+00,3.635134102715905091e-01,6.586285350292174490e-03
2.000000000000000444e+00,1.338979347743690114e-16,3.624866830270959128e-01,4.559790165205540417e-03
2.000000000000003997e+00,0.000000000000000000e+00,3.420520915583967203e-01,2.719560069037242709e-03
2.645751311064583167e+00,1.338979347743690114e-16,3.653605113811760341e-01,5.532367697373466106e-03
2.645751311064586719e+00,1.338979347743690114e-16,2.258601869257860772e-01,8.701747216376882685e-03
2.645751311064589384e+00,1.338979347743690114e-16,2.920681329339510079e-01,2.401032806293355859e-03
2.645751311064589828e+00,0.000000000000000000e+00,4.126589684326100183e-01,8.734556900734892146e-03
2.645751311064590272e+00,0.000000000000000000e+00,3.253231567904527055e-01,1.871959390813760123e-03
2.645751311064590272e+00,1.338979347743690114e-16,2.772062725596869948e-01,1.586366731661909522e-03
2.645751311064592048e+00,1.338979347743690114e-16,2.871610286231278675e-01,1.582728175596005661e-03
2.645751311064592937e+00,1.338979347743690114e-16,3.998444955118042321e-01,7.613411758392267005e-03
2.645751311064593825e+00,0.000000000000000000e+00,2.841361971266023745e-01,1.860923702537851899e-03
2.645751311064593825e+00,1.338979347743690114e-16,3.534488148020670240e-01,1.009915683095061190e-02
2.999999999999993339e+00,2.677958695487380229e-16,3.624623393883534272e-01,3.465803423723283396e-03
2.999999999999996891e+00,0.000000000000000000e+00,2.261765680650096588e-01,4.158119959371263039e-03
2.999999999999999556e+00,2.677958695487380229e-16,3.209922391773266104e-01,5.691125587878985079e-03
2.999999999999999556e+00,0.000000000000000000e+00,3.594744488290748108e-01,1.145216092908815653e-02
3.000000000000000000e+00,0.000000000000000000e+00,2.584248693228073379e-01,1.214870621381043897e-03
3.000000000000000444e+00,1.338979347743690114e-16,2.063259410282057005e-01,6.336939877889759785e-03
3.000000000000001332e+00,1.338979347743690114e-16,3.842651244074418160e-01,1.269099305996096785e-02
3.000000000000003109e+00,0.000000000000000000e+00,2.804526388559326344e-01,6.712378323960689619e-03
3.464101615137749945e+00,0.000000000000000000e+00,2.569928543341592486e-01,3.713670819157978507e-03
3.464101615137753942e+00,1.338979347743690114e-16,2.201632313143147002e-01,3.313395315640598957e-03
3.464101615137754386e+00,0.000000000000000000e+00,2.425983831100406718e-01,2.865340580466984449e-03
3.464101615137754386e+00,1.338979347743690114e-16,2.788151016561254414e-01,5.667157629753091612e-03
3.464101615137756607e+00,4.016938043231070343e-16,2.565500365696423701e-01,2.974147677230772231e-03
3.464101615137757051e+00,0.000000000000000000e+00,2.380892979152537114e-01,2.399716219777071197e-03
3.605551275463983352e+00,2.677958695487380229e-16,2.045221982910798986e-01,1.344465813820090207e-02
3.605551275463985128e+00,1.338979347743690114e-16,2.349834444228144359e-01,1.945939560798873313e-03
3.605551275463987349e+00,1.338979347743690114e-16,2.088311920005592459e-01,5.784173974362660092e-03
3.605551275463988237e+00,0.000000000000000000e+00,2.245167357304235223e-01,2.641059791331035276e-03
3.605551275463988237e+00,1.338979347743690114e-16,4.268735956521854669e-01,1.118391367635821095e-02
3.605551275463988237e+00,2.677958695487380229e-16,2.212618835478893375e-01,1.200601689078370895e-03
3.605551275463988237e+00,4.016938043231070343e-16,2.253557020109286380e-01,2.241048242827945510e-03
3.605551275463989569e+00,1.338979347743690114e-16,2.630351388431790838e-01,2.980994017443088038e-03
3.605551275463990457e+00,1.338979347743690114e-16,3.970753726661050975e-01,1.052722361047752492e-02
3.605551275463992233e+00,1.338979347743690114e-16,2.400468938070978997e-01,2.628997601454168258e-03
3.999999999999995559e+00,1.338979347743690114e-16,2.170063820242374986e-01,2.306991217000331756e-03
3.999999999999999556e+00,1.338979347743690114e-16,2.070803109467812542e-01,2.444146449080200449e-03
3.999999999999999556e+00,0.000000000000000000e+00,2.072982070533557208e-01,3.402159988642484371e-03
4.000000000000000000e+00,0.000000000000000000e+00,2.045662301283537599e-01,1.504781297666673168e-03
4.000000000000000888e+00,0.000000000000000000e+00,2.557478907917365429e-01,3.668931295729857978e-03
4.000000000000000888e+00,2.677958695487380229e-16,2.106990183386523441e-01,2.370252023098628688e-03
4.358898943540668647e+00,2.677958695487380229e-16,1.520428804826767510e-01,8.940802963640318013e-03
4.358898943540672200e+00,2.677958695487380229e-16,1.756872715376462391e-01,1.981083000339072756e-03
4.358898943540673088e+00,0.000000000000000000e+00,1.962858100422390228e-01,3.525963564126928344e-03
4.358898943540673976e+00,0.000000000000000000e+00,1.930054609502762086e-01,1.707658430582387806e-03
4.358898943540673976e+00,2.677958695487380229e-16,2.361045201043392439e-01,2.132510934812883573e-03
4.358898943540674864e+00,2.677958695487380229e-16,1.918146075841310194e-01,2.824228572708871021e-03
4.358898943540679305e+00,2.677958695487380229e-16,1.829958299012206802e-01,7.465222191790109492e-03
4.582575694955836276e+00,0.000000000000000000e+00,1.633089986721919240e-01,2.138349234772218919e-03
4.582575694955837164e+00,2.677958695487380229e-16,1.633809830478936131e-01,2.395623229429878678e-03
4.582575694955838053e+00,2.677958695487380229e-16,1.825919437087104302e-01,9.885516681891000270e-04
4.582575694955840717e+00,2.677958695487380229e-16,2.073673999401584034e-01,2.465037964077777463e-03
4.582575694955841605e+00,2.677958695487380229e-16,1.756284302517817641e-01,1.175479785277555329e-03
4.582575694955841605e+00,0.000000000000000000e+00,1.834104774473118704e-01,2.171831946439920728e-03
4.582575694955843382e+00,2.677958695487380229e-16,1.987982224131968068e-01,3.996869860016977888e-03
4.999999999999999112e+00,2.677958695487380229e-16,1.451244934851295409e-01,1.356900048430797210e-03
5.000000000000000000e+00,0.000000000000000000e+00,1.830967775584283475e-01,2.593417116532592374e-03
5.000000000000000888e+00,0.000000000000000000e+00,2.013511526259663398e-01,2.800417639629870260e-03
5.000000000000005329e+00,2.677958695487380229e-16,1.583314697630810453e-01,3.573804554695014183e-03
5.196152422706624918e+00,0.000000000000000000e+00,1.971256941933663964e-01,5.618883738694795300e-03
5.196152422706629359e+00,2.677958695487380229e-16,9.102521995015719347e-02,5.081644555828492352e-03
5.196152422706631135e+00,2.677958695487380229e-16,1.557056421571052229e-01,3.601744883902974724e-03
5.196152422706631135e+00,0.000000000000000000e+00,2.513663595553146113e-01,3.797451025117596236e-03
5.196152422706632024e+00,0.000000000000000000e+00,1.478301189159687279e-01,1.483154963116211549e-03
5.196152422706632912e+00,0.000000000000000000e+00,2.351190841737486048e-01,2.768285090244074469e-03
5.196152422706632912e+00,2.677958695487380229e-16,2.244032297764834982e-01,2.593432720834272596e-03
5.196152422706634688e+00,2.677958695487380229e-16,2.233634680003943052e-01,6.668215299738444041e-03
5.291502622129173439e+00,2.677958695487380229e-16,1.565246667997835794e-01,4.583394089545000070e-03
5.291502622129178768e+00,2.677958695487380229e-16,1.070753582432137085e-01,1.993240276450571925e-03
5.291502622129179656e+00,0.000000000000000000e+00,1.881952687999222940e-01,6.300692282178108235e-03
5.291502622129180544e+00,0.000000000000000000e+00,1.457413780804887316e-01,1.054072665335253770e-03
5.291502622129180544e+00,2.677958695487380229e-16,1.677677629273673088e-01,1.321455502955202251e-03
5.291502622129184097e+00,2.677958695487380229e-16,1.513594140453411729e-01,1.484719217302476807e-03
5.291502622129185873e+00,2.677958695487380229e-16,2.104720850120335163e-01,5.306961634344762278e-03
5.567764362830016189e+00,2.677958695487380229e-16,1.288526879630654820e-01,4.385472315644516235e-03
5.567764362830018854e+00,0.000000000000000000e+00,1.221374482542939705e-01,3.057384512686839393e-03
5.567764362830019742e+00,2.677958695487380229e-16,1.189129637822009811e-01,1.083268788640857124e-03
5.567764362830019742e+00,5.355917390974760458e-16,1.649173790633681747e-01,2.533915334230657773e-03
5.567764362830021518e+00,2.677958695487380229e-16,1.391247761836247043e-01,1.373966190789696227e-03
5.567764362830025071e+00,5.355917390974760458e-16,1.659309276430606661e-01,2.617426295702754337e-03
5.567764362830025071e+00,2.677958695487380229e-16,2.638657789788902419e-01,1.119553724851127426e-02
5.567764362830025071e+00,0.000000000000000000e+00,2.045734566357952644e-01,5.057907155108431682e-03
5.567764362830025959e+00,0.000000000000000000e+00,1.536236143011752986e-01,2.694194237806306347e-03
5.999999999999993783e+00,0.000000000000000000e+00,9.335844166639831188e-02,4.711353655840739077e-03
5.999999999999999112e+00,5.355917390974760458e-16,1.208942031203576878e-01,4.183122805110982279e-03
5.999999999999999112e+00,0.000000000000000000e+00,1.851807600734443338e-01,3.312806686495192894e-03
6.000000000000000000e+00,0.000000000000000000e+00,1.335251448441881206e-01,2.681367542423558799e-03
6.000000000000000888e+00,2.677958695487380229e-16,2.178244489995601052e-01,7.957513975762017452e-03
6.000000000000002665e+00,2.677958695487380229e-16,1.646927630698892253e-01,4.252013206961581353e-03
6.082762530298214010e+00,2.677958695487380229e-16,1.143503163740794554e-01,3.100857594510147974e-03
6.082762530298217563e+00,2.677958695487380229e-16,4.703713140849512947e-02,1.936802604650067483e-02
6.082762530298217563e+00,0.000000000000000000e+00,9.506603290941315065e-02,1.899433080313195398e-03
6.082762530298217563e+00,2.677958695487380229e-16,1.105713559123488871e-01,1.485121754373916469e-03
6.082762530298219339e+00,0.000000000000000000e+00,1.249538825326406699e-01,1.111428549711727335e-03
6.082762530298219339e+00,2.677958695487380229e-16,1.982273238001774629e-01,3.894543770987590487e-03
6.082762530298220227e+00,2.677958695487380229e-16,1.012221761976356410e-01,1.668519479959685529e-03
6.082762530298222892e+00,2.677958695487380229e-16,1.316268677536714393e-01,4.272571917287244607e-03
6.244997998398394756e+00,2.677958695487380229e-16,1.087905003667811593e-01,2.640115172718404853e-03
6.244997998398397421e+00,0.000000000000000000e+00,9.653615165433863943e-02,1.025428352893746446e-03
6.244997998398397421e+00,2.677958695487380229e-16,1.647155340994661543e-01,1.500838855245669422e-03
6.244997998398398309e+00,2.677958695487380229e-16,1.427664517638962682e-01,1.696765689284820879e-03
6.244997998398400973e+00,2.677958695487380229e-16,1.324506825025934531e-01,3.921039430149595925e-03
6.244997998398402750e+00,2.677958695487380229e-16,1.301244655170293030e-01,4.514378344309148347e-03
6.557438524301995031e+00,0.000000000000000000e+00,5.731998692419421754e-02,6.434361190874724433e-03
6.557438524301995031e+00,2.677958695487380229e-16,1.095895795131680006e-01,3.771506350054152756e-03
6.557438524301999472e+00,5.355917390974760458e-16,9.178599722679098294e-02,3.623284389047365991e-03
6.557438524301999472e+00,0.000000000000000000e+00,1.046990852911899722e-01,1.592302795831899813e-03
6.557438524302000360e+00,0.000000000000000000e+00,1.294910003323516412e-01,1.351578121355777188e-03
6.557438524302001248e+00,0.000000000000000000e+00,1.202909084409305857e-01,1.433655258800727202e-03
6.557438524302001248e+00,2.677958695487380229e-16,1.985006481425275193e-01,4.589477886959637473e-03
6.557438524302001248e+00,5.355917390974760458e-16,1.229483831829320944e-01,2.337484746079583880e-03
6.557438524302001248e+00,8.033876086462140687e-16,1.455620604816301733e-01,4.885897414246791540e-03
6.928203230275507885e+00,2.677958695487380229e-16,6.894344304153778025e-02,1.947497032013546835e-03
6.928203230275508773e+00,2.677958695487380229e-16,2.499546841112885442e-01,1.678135876491922487e-02
6.928203230275508773e+00,0.000000000000000000e+00,1.041312575189035500e-01,2.158318780433968534e-03
6.928203230275508773e+00,2.677958695487380229e-16,1.232598599203837825e-01,4.598574515158372795e-03
6.928203230275513214e+00,8.033876086462140687e-16,9.180083345325106003e-02,1.456020315027902346e-03
6.928203230275514102e+00,0.000000000000000000e+00,1.193963706339564584e-01,4.301946823051335488e-03
6.999999999999994671e+00,2.677958695487380229e-16,7.862333626310587242e-02,2.300891993357089514e-03
6.999999999999999112e+00,5.355917390974760458e-16,6.354263877816339334e-02,1.777487742857467370e-02
6.999999999999999112e+00,2.677958695487380229e-16,9.226083767880921549e-02,1.469967291347114811e-03
6.999999999999999112e+00,0.000000000000000000e+00,9.686059407497206453e-02,9.869686565232005642e-04
7.000000000000000000e+00,0.000000000000000000e+00,9.364456475513267819e-02,9.070869746859686359e-04
7.000000000000000888e+00,0.000000000000000000e+00,1.246802493346280821e-01,2.294656036146120771e-03
7.000000000000000888e+00,2.677958695487380229e-16,1.070997875050856835e-01,8.521295602336689985e-04
7.000000000000000888e+00,5.355917390974760458e-16,1.069155630020676012e-01,6.874215861434481399e-03
7.000000000000005329e+00,0.000000000000000000e+00,9.906193818746154844e-02,4.028728906708822256e-03
