step,energy_per_site
0.000000000000000000e+00,5.896500028100135765e-02
5.000000000000000000e+04,4.330504365568638159e-02
1.000000000000000000e+05,4.612778056100810820e-02
1.500000000000000000e+05,4.406326502496307057e-02
2.000000000000000000e+05,4.312306925067785346e-02
2.500000000000000000e+05,4.544820322992114414e-02
3.000000000000000000e+05,4.372387472363519628e-02
3.500000000000000000e+05,4.332125164438577897e-02
4.000000000000000000e+05,4.441103256896205415e-02
4.500000000000000000e+05,4.518936538354405980e-02
5.000000000000000000e+05,4.601913553215605801e-02
