r,G,G_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,9.998177845736413438e-01,1.126806473826243828e-06
1.938934911242604642e+00,9.998159794707508485e-01,1.320374166322004004e-06
2.885680473372783439e+00,9.998170380223203590e-01,1.119519261977125060e-06
3.817278106508876334e+00,9.998171294054892799e-01,9.463387264465857599e-07
4.733727810650883328e+00,9.998159872351197741e-01,1.092000723684969352e-06
5.635029585798818630e+00,9.998165837305305059e-01,1.192218129268475782e-06
6.521183431952664478e+00,9.998158305823630077e-01,1.249785270114850062e-06
7.392189349112427976e+00,9.998164095091190973e-01,1.221828453064498253e-06
8.248047337278105573e+00,9.998162924846564215e-01,1.246590760710605372e-06
9.088757396449704373e+00,9.998154391046888412e-01,1.222669425328090702e-06
9.914319526627220824e+00,9.998158338576458304e-01,1.262317022615585099e-06
1.072473372781065137e+01,9.998164070296866601e-01,1.322098593296840253e-06
1.151999999999999602e+01,9.998166512708478448e-01,1.213135712203688586e-06
1.230011834319526542e+01,9.998170622947014641e-01,9.430819057145372214e-07
1.306508875739645248e+01,9.998163828551792642e-01,9.679602170111438696e-07
1.381491124260355008e+01,9.998155819602871919e-01,1.089762227045323903e-06
1.454958579881656533e+01,9.998161066263701047e-01,1.052986527328969024e-06
1.526911242603550534e+01,9.998172068848958371e-01,1.063689774933583877e-06
1.597349112426035944e+01,9.998157534982813344e-01,1.222667147967838166e-06
1.666272189349112409e+01,9.998157577764911208e-01,1.074677618721786606e-06
1.733680473372780995e+01,9.998155692119463644e-01,1.266589685808772929e-06
1.799573964497041345e+01,9.998162220527678778e-01,1.307679284542917643e-06
1.863952662721893816e+01,9.998173385728421625e-01,1.253282038071038103e-06
1.926816568047337341e+01,9.998164551800994282e-01,1.122871739667220086e-06
1.988165680473372632e+01,9.998180807736741782e-01,1.290193747846753665e-06
2.048000000000000043e+01,9.998180245888385054e-01,1.100139183341339882e-06
2.106319526627219219e+01,9.998200702505136706e-01,1.294586677159584094e-06
2.163124260355029804e+01,9.998199402016115789e-01,1.290084944920600256e-06
2.218414201183431800e+01,9.998207035887539673e-01,1.399651795704217120e-06
2.272189349112426271e+01,9.998198832217576326e-01,1.560731393627862534e-06
2.324449704142012152e+01,9.998207732580121077e-01,1.569497770077688303e-06
2.375195266272189443e+01,9.998200894039052100e-01,1.503343901105443297e-06
2.424426035502958499e+01,9.998217846447482460e-01,1.508798052652814419e-06
2.472142011834319675e+01,9.998203757049409779e-01,1.847032192010797711e-06
2.518343195266272261e+01,9.998210913083258600e-01,1.626637515040557894e-06
2.563029585798816612e+01,9.998222228028605940e-01,1.867610920801267050e-06
2.606201183431952728e+01,9.998218663149334162e-01,1.764565047664734050e-06
2.647857988165680609e+01,9.998209725339175513e-01,2.070720073001382149e-06
2.688000000000000256e+01,9.998221147884794879e-01,1.646180703462786612e-06
2.726627218934911312e+01,9.998223194797514202e-01,2.117600992888845519e-06
2.763739644970414133e+01,9.998244147694297368e-01,1.781881110209279734e-06
2.799337278106509075e+01,9.998190203909754770e-01,2.382413655484250358e-06
2.833420118343195426e+01,9.998265298417607916e-01,1.701351426070843410e-06
2.865988165680473543e+01,9.998233012388911822e-01,2.263765310467289847e-06
2.897041420118343069e+01,9.998253102487907329e-01,2.800223862986082561e-06
2.926579881656804716e+01,9.998255309657598788e-01,2.315576285299101478e-06
2.954603550295858128e+01,9.998234370825209716e-01,2.426907975497655392e-06
2.981112426035502949e+01,9.998272153105325355e-01,1.675291167122960292e-06
3.006106508875739536e+01,9.998284807386549344e-01,3.459672094930983529e-06
3.029585798816568243e+01,9.998249815776047988e-01,1.702218745976383460e-06
3.051550295857988360e+01,9.998301254671517757e-01,2.392678499670318174e-06
3.071999999999999886e+01,9.998238603398100777e-01,2.964965386655187183e-06
3.090934911242603533e+01,9.998276056576855808e-01,3.026952526684785839e-06
3.108355029585798945e+01,9.998245311408812119e-01,1.183442568360485800e-06
3.124260355029585767e+01,9.998268648086784394e-01,2.718511190235047868e-06
3.138650887573964710e+01,9.998302047613173427e-01,1.923338700509163428e-06
3.151526627218935062e+01,9.998361461622873314e-01,2.791798383178391765e-06
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,9.998265564946214878e-01,4.337366310762389946e-06
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,9.998317870863857593e-01,5.584592166561142840e-06
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,9.998323784902438671e-01,2.999508023585462210e-06
