x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,4.848042471071062343e-01
1.000000000000000000e+00,0.000000000000000000e+00,-1.300456908467339523e-01
2.000000000000000000e+00,0.000000000000000000e+00,-5.047852158524802624e-01
3.000000000000000000e+00,0.000000000000000000e+00,-2.098733302803733602e-01
4.000000000000000000e+00,0.000000000000000000e+00,1.218270272382018238e-01
5.000000000000000000e+00,0.000000000000000000e+00,5.173133289842372085e-01
6.000000000000000000e+00,0.000000000000000000e+00,1.069454224914904161e-01
7.000000000000000000e+00,0.000000000000000000e+00,7.123788455630308825e-02
8.000000000000000000e+00,0.000000000000000000e+00,-5.099114423596462498e-01
9.000000000000000000e+00,0.000000000000000000e+00,-5.099347464573833477e-01
1.000000000000000000e+01,0.000000000000000000e+00,-3.173494858482605041e-01
1.100000000000000000e+01,0.000000000000000000e+00,9.054005582645185957e-02
1.200000000000000000e+01,0.000000000000000000e+00,5.061198443529227875e-01
1.300000000000000000e+01,0.000000000000000000e+00,3.505540798063453423e-01
1.400000000000000000e+01,0.000000000000000000e+00,4.913934156126898989e-01
1.500000000000000000e+01,0.000000000000000000e+00,-2.203949497953389125e-01
1.600000000000000000e+01,0.000000000000000000e+00,-2.324391332869847893e-01
1.700000000000000000e+01,0.000000000000000000e+00,6.515394004759877955e-02
1.800000000000000000e+01,0.000000000000000000e+00,2.237701029031879951e-02
1.900000000000000000e+01,0.000000000000000000e+00,5.935543169082768689e-02
2.000000000000000000e+01,0.000000000000000000e+00,-3.009340543984081462e-01
2.100000000000000000e+01,0.000000000000000000e+00,8.900447934738320299e-03
2.200000000000000000e+01,0.000000000000000000e+00,-1.075672679532568843e-02
2.300000000000000000e+01,0.000000000000000000e+00,-2.049828082462384904e-01
2.400000000000000000e+01,0.000000000000000000e+00,2.829219887553211521e-01
2.500000000000000000e+01,0.000000000000000000e+00,-2.240494523234921043e-01
2.600000000000000000e+01,0.000000000000000000e+00,3.088956076733402334e-01
2.700000000000000000e+01,0.000000000000000000e+00,4.066752585668732545e-01
2.800000000000000000e+01,0.000000000000000000e+00,6.117757516374744409e-02
2.900000000000000000e+01,0.000000000000000000e+00,4.828332517706698246e-01
3.000000000000000000e+01,0.000000000000000000e+00,3.137719247861338046e-01
3.100000000000000000e+01,0.000000000000000000e+00,1.074913318282451069e-01
5.000000000000000000e-01,8.660254037844385966e-01,8.795116129559465978e-02
1.500000000000000000e+00,8.660254037844385966e-01,9.686456813132737764e-02
2.500000000000000000e+00,8.660254037844385966e-01,-3.245464215518694129e-01
3.500000000000000000e+00,8.660254037844385966e-01,-2.043822505171910553e-01
4.500000000000000000e+00,8.660254037844385966e-01,1.149555469236492877e-01
5.500000000000000000e+00,8.660254037844385966e-01,5.854200986673929741e-02
6.500000000000000000e+00,8.660254037844385966e-01,-9.605389971432531926e-02
7.500000000000000000e+00,8.660254037844385966e-01,-9.591778992157351524e-03
8.500000000000000000e+00,8.660254037844385966e-01,-1.806447879820597957e-01
9.500000000000000000e+00,8.660254037844385966e-01,-1.801738430409227654e-01
1.050000000000000000e+01,8.660254037844385966e-01,2.950012959863234085e-01
1.150000000000000000e+01,8.660254037844385966e-01,-3.772295836872973096e-01
1.250000000000000000e+01,8.660254037844385966e-01,2.276260969239919385e-01
1.350000000000000000e+01,8.660254037844385966e-01,1.960561646956608950e-01
1.450000000000000000e+01,8.660254037844385966e-01,8.820421495380703636e-02
1.550000000000000000e+01,8.660254037844385966e-01,-3.027030063421242145e-01
1.650000000000000000e+01,8.660254037844385966e-01,-3.970945718936110258e-01
1.750000000000000000e+01,8.660254037844385966e-01,2.688046587615785521e-01
1.850000000000000000e+01,8.660254037844385966e-01,1.582847408831742353e-01
1.950000000000000000e+01,8.660254037844385966e-01,1.954226282467471654e-01
2.050000000000000000e+01,8.660254037844385966e-01,4.685147771115697468e-01
2.150000000000000000e+01,8.660254037844385966e-01,-4.468635841411439102e-04
2.250000000000000000e+01,8.660254037844385966e-01,-4.490585290892158965e-01
2.350000000000000000e+01,8.660254037844385966e-01,-2.229496458464944597e-01
2.450000000000000000e+01,8.660254037844385966e-01,-1.794341570073089143e-01
2.550000000000000000e+01,8.660254037844385966e-01,-4.625539933248775659e-01
2.650000000000000000e+01,8.660254037844385966e-01,3.390223062122881270e-01
