index,energy_per_site
0.000000000000000000e+00,5.336499735517974408e-01
1.000000000000000000e+00,3.470316770429807129e-01
2.000000000000000000e+00,3.471462925295248358e-01
3.000000000000000000e+00,3.473413783013282741e-01
4.000000000000000000e+00,3.477989000938673247e-01
5.000000000000000000e+00,3.490352247456761647e-01
6.000000000000000000e+00,3.465827795038730064e-01
7.000000000000000000e+00,3.471226864849613070e-01
8.000000000000000000e+00,3.479608294745766828e-01
9.000000000000000000e+00,3.481552515454545138e-01
