r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,4.503232596258695541e-01,7.765861436191260833e-03
1.938934911242604642e+00,3.034691058883775550e-01,1.068887084046685719e-02
2.885680473372783439e+00,2.318353379497576083e-01,1.031856765716321692e-02
3.817278106508876334e+00,1.851955721233338181e-01,1.160525480939331340e-02
4.733727810650883328e+00,1.523992878287283581e-01,1.234924757610906219e-02
5.635029585798818630e+00,1.307007479664441252e-01,1.341537146276532838e-02
6.521183431952664478e+00,1.136487384469025974e-01,1.490909505617604887e-02
7.392189349112427976e+00,9.587001482861104429e-02,1.785991309845848946e-02
8.248047337278105573e+00,8.283854639718619961e-02,1.878130289907456799e-02
9.088757396449704373e+00,7.477683792289108178e-02,1.899930214597676803e-02
9.914319526627220824e+00,6.769421524595369000e-02,1.882908240772361227e-02
1.072473372781065137e+01,6.142345320745629111e-02,1.843523477663011265e-02
1.151999999999999602e+01,5.265648214341926703e-02,1.773566098108491848e-02
1.230011834319526542e+01,4.506590725222621441e-02,1.771510530995485180e-02
1.306508875739645248e+01,3.502741472451727234e-02,1.836706219465838313e-02
1.381491124260355008e+01,2.850525257374380422e-02,1.830887662774918420e-02
1.454958579881656533e+01,2.114513471971860015e-02,1.970497870604651439e-02
1.526911242603550534e+01,1.372528231769656708e-02,2.005120853161353883e-02
1.597349112426035944e+01,7.840966859445882078e-03,1.951329449990429551e-02
1.666272189349112409e+01,4.144157232871842345e-03,1.939181333835268695e-02
1.733680473372780995e+01,-2.276762877830500881e-03,2.007327308640279376e-02
1.799573964497041345e+01,-8.596443799200286298e-03,1.881554466084923646e-02
1.863952662721893816e+01,-1.320950294612635405e-02,1.755635327962869544e-02
1.926816568047337341e+01,-2.070472102268165748e-02,1.623804592674212011e-02
1.988165680473372632e+01,-2.099943993535190179e-02,1.652186280387233502e-02
2.048000000000000043e+01,-2.338108919146847722e-02,1.473141308625521353e-02
2.106319526627219219e+01,-3.098572307234787743e-02,1.342121247772629436e-02
2.163124260355029804e+01,-2.569203322055065714e-02,1.507545835374197660e-02
2.218414201183431800e+01,-2.479488583319272230e-02,1.350791205302317999e-02
2.272189349112426271e+01,-3.394607824152059972e-02,1.413179035895535153e-02
2.324449704142012152e+01,-2.365240568729763682e-02,1.479410511169661907e-02
2.375195266272189443e+01,-3.305424058190985226e-02,1.378788390290911284e-02
2.424426035502958499e+01,-2.488678636992388074e-02,1.486699953257258552e-02
2.472142011834319675e+01,-2.640948596223036127e-02,1.525194008865101043e-02
2.518343195266272261e+01,-3.053926516055781651e-02,1.546863497826754877e-02
2.563029585798816612e+01,-2.635744139765449842e-02,1.544027145900164939e-02
2.606201183431952728e+01,-2.519390743735291233e-02,1.444096770378653326e-02
2.647857988165680609e+01,-1.871262216820072238e-02,1.409016821524781450e-02
2.688000000000000256e+01,-1.874671035878444636e-02,1.483511750826014934e-02
2.726627218934911312e+01,-1.729693917546683973e-02,1.400879798986418186e-02
2.763739644970414133e+01,-9.674189876936144933e-03,1.460262225029818582e-02
2.799337278106509075e+01,-8.350537460014375440e-03,1.256667891410266982e-02
2.833420118343195426e+01,-5.453284938365107054e-03,1.389210102989894488e-02
2.865988165680473543e+01,-4.430679358685189057e-03,1.196411969529352116e-02
2.897041420118343069e+01,-7.542321944374942230e-03,1.558841047607264531e-02
2.926579881656804716e+01,-1.724396276468578501e-03,1.718317597047841483e-02
2.954603550295858128e+01,-7.247246904681552485e-04,1.415155959026181444e-02
2.981112426035502949e+01,-2.902404747839133423e-03,1.235400161051611323e-02
3.006106508875739536e+01,-1.578744567355334222e-02,1.430231536682933895e-02
3.029585798816568243e+01,1.528090815756602636e-03,2.023363096427786487e-02
3.051550295857988360e+01,-2.535252045839791156e-03,1.609295017889243035e-02
3.071999999999999886e+01,6.205011276554850061e-03,1.662917593069113825e-02
3.090934911242603533e+01,-1.224736726809087448e-02,1.711670591250154597e-02
3.108355029585798945e+01,7.486643033748572804e-03,2.005489156836408673e-02
3.124260355029585767e+01,-2.272207238762481360e-02,2.384805527073257866e-02
3.138650887573964710e+01,9.380020032557888007e-03,1.817037201338614696e-02
3.151526627218935062e+01,1.393729077836637978e-02,1.691309504872567926e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,1.950453717668549150e-02,2.579627004221861017e-02
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,-1.904053834751909258e-03,3.352923586036200831e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,1.913793393911549651e-02,2.401682607265614999e-02
