x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,-9.335880012943165163e-03
1.000000000000000000e+00,0.000000000000000000e+00,-4.466501437103875816e-02
2.000000000000000000e+00,0.000000000000000000e+00,7.565808489748637733e-03
3.000000000000000000e+00,0.000000000000000000e+00,-6.555211761782753221e-02
4.000000000000000000e+00,0.000000000000000000e+00,1.062635479845528419e-01
5.000000000000000000e+00,0.000000000000000000e+00,2.288347367057763648e-02
6.000000000000000000e+00,0.000000000000000000e+00,-2.852732860649314084e-01
7.000000000000000000e+00,0.000000000000000000e+00,-1.631982074333504507e-01
8.000000000000000000e+00,0.000000000000000000e+00,-1.649930031787185114e-01
9.000000000000000000e+00,0.000000000000000000e+00,2.464708881031275611e-01
1.000000000000000000e+01,0.000000000000000000e+00,-2.793945945200441150e-01
1.100000000000000000e+01,0.000000000000000000e+00,4.255548428609450262e-01
1.200000000000000000e+01,0.000000000000000000e+00,4.330925607458738780e-01
1.300000000000000000e+01,0.000000000000000000e+00,-4.424633825757685601e-01
1.400000000000000000e+01,0.000000000000000000e+00,1.995934888494287351e-01
1.500000000000000000e+01,0.000000000000000000e+00,1.196102401400467308e-01
1.600000000000000000e+01,0.000000000000000000e+00,1.643353036786684429e-01
1.700000000000000000e+01,0.000000000000000000e+00,5.232566079033785789e-01
1.800000000000000000e+01,0.000000000000000000e+00,-3.269142325405649530e-03
1.900000000000000000e+01,0.000000000000000000e+00,-3.073613977822642340e-02
2.000000000000000000e+01,0.000000000000000000e+00,2.344505907791226695e-01
2.100000000000000000e+01,0.000000000000000000e+00,3.279142937545169723e-01
2.200000000000000000e+01,0.000000000000000000e+00,4.992328471514660970e-01
2.300000000000000000e+01,0.000000000000000000e+00,2.393623521785938069e-01
2.400000000000000000e+01,0.000000000000000000e+00,-7.417522597223691339e-02
2.500000000000000000e+01,0.000000000000000000e+00,1.335680496430612374e-01
2.600000000000000000e+01,0.000000000000000000e+00,1.661704167055558790e-01
2.700000000000000000e+01,0.000000000000000000e+00,-4.288300456000822547e-01
2.800000000000000000e+01,0.000000000000000000e+00,-4.943022343657216822e-01
2.900000000000000000e+01,0.000000000000000000e+00,-4.490753391179619913e-01
3.000000000000000000e+01,0.000000000000000000e+00,2.928884732493280962e-01
3.100000000000000000e+01,0.000000000000000000e+00,3.427435528721656244e-02
5.000000000000000000e-01,8.660254037844385966e-01,1.954001544279110325e-01
1.500000000000000000e+00,8.660254037844385966e-01,1.428513619426414749e-01
2.500000000000000000e+00,8.660254037844385966e-01,-1.194968996682789220e-01
3.500000000000000000e+00,8.660254037844385966e-01,1.006184023763233570e-01
