x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,2.242432369588017727e-01
1.000000000000000000e+00,0.000000000000000000e+00,3.446314065831856954e-01
2.000000000000000000e+00,0.000000000000000000e+00,4.542144667492177268e-01
3.000000000000000000e+00,0.000000000000000000e+00,-4.120018656982630256e-01
4.000000000000000000e+00,0.000000000000000000e+00,7.262104947605119154e-02
5.000000000000000000e+00,0.000000000000000000e+00,1.975515082504984976e-01
6.000000000000000000e+00,0.000000000000000000e+00,-4.818897471877237604e-01
7.000000000000000000e+00,0.000000000000000000e+00,-2.277056470105648378e-01
8.000000000000000000e+00,0.000000000000000000e+00,9.131618109455397203e-02
9.000000000000000000e+00,0.000000000000000000e+00,4.385264675178649485e-01
1.000000000000000000e+01,0.000000000000000000e+00,2.718567682983352718e-02
1.100000000000000000e+01,0.000000000000000000e+00,-3.430277316049554770e-01
1.200000000000000000e+01,0.000000000000000000e+00,4.061891119332942113e-01
1.300000000000000000e+01,0.000000000000000000e+00,-3.942995570206770384e-01
1.400000000000000000e+01,0.000000000000000000e+00,1.735836290859559261e-01
1.500000000000000000e+01,0.000000000000000000e+00,6.424004497352608922e-02
5.000000000000000000e-01,8.660254037844385966e-01,-4.918592593630083387e-02
1.500000000000000000e+00,8.660254037844385966e-01,-3.766087578028600724e-01
2.500000000000000000e+00,8.660254037844385966e-01,-3.415000635044646016e-01
3.500000000000000000e+00,8.660254037844385966e-01,-3.867515438559013807e-01
4.500000000000000000e+00,8.660254037844385966e-01,4.959237520358547036e-01
5.500000000000000000e+00,8.660254037844385966e-01,4.836969755293661910e-01
6.500000000000000000e+00,8.660254037844385966e-01,-4.936753189065966607e-01
7.500000000000000000e+00,8.660254037844385966e-01,4.101491689588391276e-01
8.500000000000000000e+00,8.660254037844385966e-01,2.140519397520110889e-01
9.500000000000000000e+00,8.660254037844385966e-01,1.566746347889302893e-02
1.050000000000000000e+01,8.660254037844385966e-01,-5.136744980785258319e-01
1.150000000000000000e+01,8.660254037844385966e-01,-5.730416738762511564e-03
