index,energy_per_site
0.000000000000000000e+00,8.735943571591141266e-02
1.000000000000000000e+00,8.542125575505139790e-02
2.000000000000000000e+00,8.719505609723562922e-02
3.000000000000000000e+00,8.647792423863727429e-02
4.000000000000000000e+00,8.553427372827963893e-02
5.000000000000000000e+00,8.271620092555720394e-02
6.000000000000000000e+00,8.701657400676557352e-02
7.000000000000000000e+00,8.523385177832697168e-02
8.000000000000000000e+00,8.411757835633851266e-02
9.000000000000000000e+00,8.515129223171531703e-02
