T,eta,eta_err,xi,xi_err
1.00000000e-05,-2.61246860e-07,1.89948690e-07,-6.90832085e+07,1.54709280e+08
5.00000000e-03,6.91590991e-05,1.05099206e-04,3.43796096e+04,1.87103734e+04
1.00000000e-02,-2.06638609e-04,1.42205718e-04,-2.26692308e+04,1.13565099e+04
5.00000000e-02,8.95582240e-04,8.68908255e-04,1.97544329e+04,5.67124668e+04
1.00000000e-01,-2.24530339e-03,2.41368826e-03,-3.95995412e+03,6.24487264e+03
1.50000000e-01,-1.92963141e-02,5.90876689e-03,-4.45532338e+02,2.18369077e+02
2.00000000e-01,1.92903111e-02,8.39897209e-03,3.54614877e+02,1.77090654e+02
4.00000000e-01,6.29661331e-02,4.02302737e-02,1.34850880e+02,1.23154595e+02
6.00000000e-01,-4.20315421e-02,2.14257570e-01,-1.01580116e+02,3.59571129e+02
8.00000000e-01,-1.22300992e-01,1.24831831e-01,-6.77446490e+01,9.44687868e+01
1.00000000e+00,2.29523597e-02,1.78057379e-01,-1.63235620e+02,7.72975146e+02
