r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,8.563288833348732532e-03,2.906844302401400369e-03
1.938934911242604642e+00,9.563181349600616277e-03,4.048216887623821113e-03
2.885680473372783439e+00,1.430185251122394717e-02,1.854963143787654364e-03
3.817278106508876334e+00,8.013672463007711494e-03,2.010033782859931874e-03
4.733727810650883328e+00,1.267429992222331853e-02,1.800186481752574959e-03
5.635029585798818630e+00,1.007970951297363672e-02,1.751413098600004955e-03
6.521183431952664478e+00,1.073721454171906904e-02,1.411225382915262108e-03
7.392189349112427976e+00,1.062179820038736816e-02,1.527550330318120427e-03
8.248047337278105573e+00,1.083063688499011357e-02,1.514781320255889933e-03
9.088757396449704373e+00,1.278093351221517952e-02,1.776398751626507991e-03
9.914319526627220824e+00,9.966828914005344126e-03,2.195336466407828147e-03
1.072473372781065137e+01,1.215702600206519830e-02,1.951160151403067344e-03
1.151999999999999602e+01,9.268362902230056766e-03,1.347530924612694563e-03
1.230011834319526542e+01,8.931295702737224868e-03,1.952445565334546022e-03
1.306508875739645248e+01,1.202218648082363159e-02,1.559944924080835463e-03
1.381491124260355008e+01,1.403525667928905499e-02,1.996067371429728794e-03
1.454958579881656533e+01,1.125631374108713827e-02,1.055240761441625505e-03
1.526911242603550534e+01,1.079830476393666208e-02,2.001465826294128621e-03
1.597349112426035944e+01,1.195428618138206882e-02,1.313849469856745705e-03
1.666272189349112409e+01,9.776867607148841469e-03,1.985355526337013749e-03
1.733680473372780995e+01,6.740325058666040911e-03,2.231245900286454951e-03
1.799573964497041345e+01,8.890005198515278304e-03,1.633151164901727260e-03
1.863952662721893816e+01,6.415127737984849948e-03,1.924425858458977089e-03
1.926816568047337341e+01,1.044884709291904468e-02,2.268431382763249921e-03
1.988165680473372632e+01,9.445457814177877012e-03,1.316280413852590619e-03
2.048000000000000043e+01,1.033112508973783872e-02,1.560873241273504162e-03
2.106319526627219219e+01,8.717397568059257612e-03,2.178834381495966480e-03
2.163124260355029804e+01,8.951978270662809198e-03,2.227610578109726416e-03
2.218414201183431800e+01,8.773684626987373822e-03,2.931372637437027438e-03
2.272189349112426271e+01,9.451373332991537882e-03,3.607630327676435156e-03
2.324449704142012152e+01,8.425588916618962504e-03,1.188903267286117119e-03
2.375195266272189443e+01,1.133366265625004345e-02,4.178561633146696437e-03
2.424426035502958499e+01,1.120069192100884257e-02,1.769640815536429679e-03
2.472142011834319675e+01,3.028128780391098687e-03,3.161726248404327609e-03
2.518343195266272261e+01,4.829622822656949067e-03,2.381265310348474815e-03
2.563029585798816612e+01,3.107115791271413980e-03,1.903206235142278647e-03
2.606201183431952728e+01,7.782559072242414833e-03,2.388458296010225433e-03
2.647857988165680609e+01,1.063819584327999057e-02,2.497283710112025486e-03
2.688000000000000256e+01,5.884569765875311172e-03,2.979892196251666004e-03
2.726627218934911312e+01,6.627025442736281594e-03,4.459558855501438539e-03
2.763739644970414133e+01,5.009627729574572634e-03,5.397682512064677120e-03
2.799337278106509075e+01,4.764655937707686258e-03,4.277588780134719548e-03
2.833420118343195426e+01,-6.117407651525701498e-04,4.944282190494725393e-03
2.865988165680473543e+01,3.482333894368745512e-04,4.083749453386164782e-03
2.897041420118343069e+01,7.209930260450914986e-03,5.129597994323035863e-03
2.926579881656804716e+01,5.979953632623235789e-04,4.319386504429732938e-03
2.954603550295858128e+01,4.668038270571165521e-03,6.522275278290847952e-03
2.981112426035502949e+01,7.558088954721470416e-03,4.388841803719042804e-03
3.006106508875739536e+01,5.541886312570766353e-03,8.175992027101813830e-03
3.029585798816568243e+01,1.246631012566941019e-02,3.354364855834483881e-03
3.051550295857988360e+01,1.250888264101545841e-02,1.435133382192644268e-02
3.071999999999999886e+01,9.828634143292715522e-03,1.005721211946213056e-02
3.090934911242603533e+01,1.218366255289889122e-02,1.292702281779920144e-02
3.108355029585798945e+01,1.311335245522254195e-02,6.960082312206391196e-03
3.124260355029585767e+01,1.626846713435841849e-02,1.248152789132564618e-02
3.138650887573964710e+01,-8.881353503745186007e-03,6.220356686684821654e-03
3.151526627218935062e+01,1.758230510231641522e-02,1.170012482393353349e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,-2.789269302050409460e-03,7.362796842457474886e-03
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,1.359017960961651436e-02,1.138142826106945844e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,7.143859638049109007e-03,4.421105582546165647e-03
