r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.941709942618359719e-01,6.653240638497825987e-01,2.050079068106768713e-03
1.984466078214651930e+00,5.850341921166648529e-01,2.826475191767617579e-03
2.970885251858462084e+00,5.426366660357674343e-01,3.527030381254007974e-03
3.953428515193252224e+00,5.134964096670403544e-01,4.030140359531309870e-03
4.932095868219064982e+00,4.915075292339891599e-01,4.461611604620277331e-03
5.906887310935829305e+00,4.738622515833463278e-01,4.673949648491452537e-03
6.877802843343587824e+00,4.571941305038774717e-01,4.981438427852548020e-03
7.844842465442326329e+00,4.434185932575736566e-01,5.495151119610635834e-03
8.808006177232044820e+00,4.321579398358574298e-01,6.024664241016262391e-03
9.767293978712771718e+00,4.222456102912824361e-01,6.529547034304180285e-03
1.072270586988446439e+01,4.133828419746451988e-01,6.893986014595480591e-03
1.167424185074717968e+01,4.057829058535306621e-01,7.340383269290085694e-03
1.262190192130086075e+01,3.986057158957275193e-01,7.797171147237398799e-03
1.356568608154552180e+01,3.919563389811144827e-01,8.177428386062422089e-03
1.450559433148117705e+01,3.860784211017099232e-01,8.507176819639894125e-03
1.544162667110781229e+01,3.800480809074511246e-01,8.744720100035990873e-03
1.637378310042544172e+01,3.747697988616956466e-01,9.088121889283972202e-03
1.730206361943405113e+01,3.690697711928800362e-01,9.385397049683184834e-03
1.822646822813365475e+01,3.636999560652059427e-01,9.653621718580843516e-03
1.914699692652423835e+01,3.590766462517188118e-01,9.861012470482703740e-03
2.006364971460583035e+01,3.551291524455928994e-01,9.938747892136218579e-03
2.097642659237838814e+01,3.512799393229715794e-01,1.021437660848326795e-02
2.188532755984194011e+01,3.478552200941700256e-01,1.055019043246053535e-02
2.279035261699647208e+01,3.444021323753435615e-01,1.096008951259925222e-02
2.369150176384199824e+01,3.411197573831158958e-01,1.129149531677170644e-02
2.458877500037850439e+01,3.382361002214809842e-01,1.157314123746432978e-02
2.548217232660599052e+01,3.353968843965185465e-01,1.183791685508041834e-02
2.637169374252449927e+01,3.323724082900677557e-01,1.214381515431531972e-02
2.725733924813397380e+01,3.295380981363689177e-01,1.245508756173650464e-02
