r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.941709942618359719e-01,8.778695754584490141e-01,2.225892646280712255e-04
1.984466078214651930e+00,8.447571699232563347e-01,4.783177040518947682e-04
2.970885251858462084e+00,8.264593468326966175e-01,7.736398642692151250e-04
3.953428515193252224e+00,8.135520459861039777e-01,9.333420472161396177e-04
4.932095868219064982e+00,8.032636750329734676e-01,1.098936354694429653e-03
5.906887310935829305e+00,7.951228965186172282e-01,1.389057747232512376e-03
6.877802843343587824e+00,7.873364185043717489e-01,1.630380350241151903e-03
7.844842465442326329e+00,7.810988836968835169e-01,1.847934767767694334e-03
8.808006177232044820e+00,7.760609279500740865e-01,2.038630973558626554e-03
9.767293978712771718e+00,7.718765663398439170e-01,2.245346460736697553e-03
1.072270586988446439e+01,7.680405850770881671e-01,2.554946172367909222e-03
1.167424185074717968e+01,7.644633200549475482e-01,2.820131310196146573e-03
1.262190192130086075e+01,7.611177239136305284e-01,3.069240243359234229e-03
1.356568608154552180e+01,7.579470167568296279e-01,3.258450916538272769e-03
1.450559433148117705e+01,7.548981593788112177e-01,3.416809351586066502e-03
1.544162667110781229e+01,7.517625800208105336e-01,3.626910060984579916e-03
1.637378310042544172e+01,7.490143779927814771e-01,3.801067455558045701e-03
1.730206361943405113e+01,7.462249115179779846e-01,3.996103009821818687e-03
1.822646822813365475e+01,7.436589865087955831e-01,4.117513891197839213e-03
1.914699692652423835e+01,7.414493212325461435e-01,4.233945068288653621e-03
2.006364971460583035e+01,7.395210113738658331e-01,4.269838334529656339e-03
2.097642659237838814e+01,7.376796974692025888e-01,4.351837290881260811e-03
2.188532755984194011e+01,7.360151988345916552e-01,4.383875876985196887e-03
2.279035261699647208e+01,7.344354961243169111e-01,4.404623397443779148e-03
2.369150176384199824e+01,7.329628099216882742e-01,4.429445708160084996e-03
2.458877500037850439e+01,7.318030660786655206e-01,4.484752758306817348e-03
2.548217232660599052e+01,7.307598778619674995e-01,4.518282790211592542e-03
2.637169374252449927e+01,7.294468955846384883e-01,4.604722384906071754e-03
2.725733924813397380e+01,7.280470426373277792e-01,4.688373164429908944e-03
2.813910884343442831e+01,7.267461419912409903e-01,4.717204341522578462e-03
2.901700252842586281e+01,7.252868426173501026e-01,4.781379630420044824e-03
2.989102030310830571e+01,7.237551787972227313e-01,4.883113416778771775e-03
3.076116216748171439e+01,7.224006175245067940e-01,4.925522470308156021e-03
3.162742812154611727e+01,7.207181351415490322e-01,5.024132881885804564e-03
3.248981816530151434e+01,7.191397278586109110e-01,5.064560740267262488e-03
3.334833229874789140e+01,7.177557734670846346e-01,5.124028712117911603e-03
3.420297052188524844e+01,7.161752106703395127e-01,5.254001895359765827e-03
3.505373283471362811e+01,7.149368967751300596e-01,5.361244682886638115e-03
3.590061923723297355e+01,7.136555101699952885e-01,5.427543372159912213e-03
3.674362972944329897e+01,7.123742060808115895e-01,5.478959474912465516e-03
3.758276431134460438e+01,7.111419033618997521e-01,5.487848228305335606e-03
3.841802298293690399e+01,7.096553631777827720e-01,5.530882272598618143e-03
3.924940574422021200e+01,7.082774424131100810e-01,5.510023421961891821e-03
4.007691259519448579e+01,7.068002200554485137e-01,5.522797800150782734e-03
4.090054353585975377e+01,7.055554923281319724e-01,5.471389708374409591e-03
4.172029856621600175e+01,7.041653184695102485e-01,5.505572801271132154e-03
4.253617768626322970e+01,7.030811529339475729e-01,5.491230426819255009e-03
4.334818089600145186e+01,7.020308876170116008e-01,5.458942189123651249e-03
4.415630819543066821e+01,7.005769713730317649e-01,5.565756905861504560e-03
4.496055958455086454e+01,6.993328791936362920e-01,5.559578708094943707e-03
4.576093506336204086e+01,6.983126802621236751e-01,5.623180712658632820e-03
4.655743463186421138e+01,6.973307270406119418e-01,5.680991654218135213e-03
4.735005829005736189e+01,6.963170400261357029e-01,5.733814315541740578e-03
4.813880603794153501e+01,6.951200355769533434e-01,5.858501983889718295e-03
4.892367787551665970e+01,6.940856313204111228e-01,5.875626871491506677e-03
4.970467380278277858e+01,6.930307492896529142e-01,5.925481122970026326e-03
5.048179381973989166e+01,6.917972531416898274e-01,5.986470800258775725e-03
5.125503792638798473e+01,6.907830616184761352e-01,6.047079446396967477e-03
5.202440612272708620e+01,6.897609232391119782e-01,5.985848068663836112e-03
5.278989840875715345e+01,6.884466775435024166e-01,6.196189693465335886e-03
5.355151478447820068e+01,6.872840875461939669e-01,6.246353112054135563e-03
5.430925524989024211e+01,6.860411169538063181e-01,6.250625811217577592e-03
5.506311980499326353e+01,6.850309514079164774e-01,6.376704354199483511e-03
5.581310844978727914e+01,6.838654397068669732e-01,6.405888365625708736e-03
5.655922118427227474e+01,6.828310266411439233e-01,6.494398195989169523e-03
5.730145800844826454e+01,6.816152592068996929e-01,6.611180279638328473e-03
5.803981892231524853e+01,6.806082196435403464e-01,6.704213710889967218e-03
5.877430392587321251e+01,6.795654499073255916e-01,6.789926019437888746e-03
5.950491301912215647e+01,6.782049445906930263e-01,6.816728329782261592e-03
6.023164620206210884e+01,6.770613544083079471e-01,6.977570545883368669e-03
6.095450347469304120e+01,6.757483150149531381e-01,7.048600769938745056e-03
6.167348483701493933e+01,6.747665380622016595e-01,7.229877305042726326e-03
6.238859028902784587e+01,6.734928318843594885e-01,7.309518180388556614e-03
6.309981983073171818e+01,6.728591058793802482e-01,7.341421969195392229e-03
6.380717346212661312e+01,6.715764870438843959e-01,7.492671916869911818e-03
6.451065118321247382e+01,6.702352681687600011e-01,7.597450041586222697e-03
6.521025299398931452e+01,6.692553124512357066e-01,7.712950649532896753e-03
