x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,2.490596960907133450e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.913865505249838783e+00
2.000000000000000000e+00,0.000000000000000000e+00,3.057659413733304632e+00
3.000000000000000000e+00,0.000000000000000000e+00,2.987160660125542933e+00
4.000000000000000000e+00,0.000000000000000000e+00,1.893903630918866376e+00
5.000000000000000000e+00,0.000000000000000000e+00,1.142453493498151396e+00
6.000000000000000000e+00,0.000000000000000000e+00,1.505817653147735413e+00
7.000000000000000000e+00,0.000000000000000000e+00,7.426229561095247789e-01
8.000000000000000000e+00,0.000000000000000000e+00,4.423167075145881810e-01
9.000000000000000000e+00,0.000000000000000000e+00,3.758749180820863955e-02
1.000000000000000000e+01,0.000000000000000000e+00,3.403444697031510202e-02
1.100000000000000000e+01,0.000000000000000000e+00,-1.486276229691811501e+00
1.200000000000000000e+01,0.000000000000000000e+00,-2.132649258751235344e+00
1.300000000000000000e+01,0.000000000000000000e+00,-1.863450947534497359e+00
1.400000000000000000e+01,0.000000000000000000e+00,-4.361491291988528474e-02
1.500000000000000000e+01,0.000000000000000000e+00,-2.548242859159461915e-01
5.000000000000000000e-01,8.660254037844385966e-01,2.474653791265602365e+00
1.500000000000000000e+00,8.660254037844385966e-01,1.851805195890044331e+00
2.500000000000000000e+00,8.660254037844385966e-01,2.958896269528946021e+00
3.500000000000000000e+00,8.660254037844385966e-01,1.888150489448374714e+00
4.500000000000000000e+00,8.660254037844385966e-01,8.230924702450952424e-01
5.500000000000000000e+00,8.660254037844385966e-01,1.573341304439125565e+00
6.500000000000000000e+00,8.660254037844385966e-01,1.000540523438904650e+00
7.500000000000000000e+00,8.660254037844385966e-01,8.579483942620926840e-01
8.500000000000000000e+00,8.660254037844385966e-01,-3.115825005040262496e-01
9.500000000000000000e+00,8.660254037844385966e-01,-7.052948114867643170e-01
1.050000000000000000e+01,8.660254037844385966e-01,-7.432905827201983229e-01
1.150000000000000000e+01,8.660254037844385966e-01,-1.465183974934565869e+00
1.250000000000000000e+01,8.660254037844385966e-01,-1.277085727543101346e+00
1.350000000000000000e+01,8.660254037844385966e-01,-1.618988768883077745e+00
1.450000000000000000e+01,8.660254037844385966e-01,-1.126477277126665122e+00
1.550000000000000000e+01,8.660254037844385966e-01,-1.299057961018484919e+00
0.000000000000000000e+00,1.732050807568877193e+00,9.011860481357887309e-01
1.000000000000000000e+00,1.732050807568877193e+00,2.161472312964892950e+00
2.000000000000000000e+00,1.732050807568877193e+00,2.659879381788343267e+00
3.000000000000000000e+00,1.732050807568877193e+00,-1.865969068911164985e+00
4.000000000000000000e+00,1.732050807568877193e+00,1.411228422810087757e+00
5.000000000000000000e+00,1.732050807568877193e+00,2.096901402433171135e+00
6.000000000000000000e+00,1.732050807568877193e+00,2.600643722105971278e+00
