x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,2.845052835384132450e+00
1.000000000000000000e+00,0.000000000000000000e+00,3.030938131682171743e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.938799903601981178e+00
3.000000000000000000e+00,0.000000000000000000e+00,-3.032523057112998632e+00
4.000000000000000000e+00,0.000000000000000000e+00,3.059981123239834844e+00
5.000000000000000000e+00,0.000000000000000000e+00,-3.111575341721446009e+00
6.000000000000000000e+00,0.000000000000000000e+00,2.957848136926163995e+00
7.000000000000000000e+00,0.000000000000000000e+00,2.913262537633624305e+00
8.000000000000000000e+00,0.000000000000000000e+00,2.993329719949968215e+00
9.000000000000000000e+00,0.000000000000000000e+00,3.108397849957613701e+00
1.000000000000000000e+01,0.000000000000000000e+00,2.818979556031331768e+00
1.100000000000000000e+01,0.000000000000000000e+00,3.140758592354244705e+00
1.200000000000000000e+01,0.000000000000000000e+00,-2.879517145494053132e+00
1.300000000000000000e+01,0.000000000000000000e+00,-3.004088572919124456e+00
1.400000000000000000e+01,0.000000000000000000e+00,-2.831521188183044213e+00
1.500000000000000000e+01,0.000000000000000000e+00,3.056516415721693747e+00
1.600000000000000000e+01,0.000000000000000000e+00,2.981053998234351354e+00
1.700000000000000000e+01,0.000000000000000000e+00,-3.084719234976178726e+00
1.800000000000000000e+01,0.000000000000000000e+00,-3.099124513723374719e+00
1.900000000000000000e+01,0.000000000000000000e+00,2.848712809104172017e+00
2.000000000000000000e+01,0.000000000000000000e+00,2.942613770328655676e+00
2.100000000000000000e+01,0.000000000000000000e+00,3.125506849854907898e+00
2.200000000000000000e+01,0.000000000000000000e+00,2.988632133335404006e+00
2.300000000000000000e+01,0.000000000000000000e+00,3.031170774684170510e+00
2.400000000000000000e+01,0.000000000000000000e+00,3.074598435832548660e+00
2.500000000000000000e+01,0.000000000000000000e+00,-2.964354489175854201e+00
2.600000000000000000e+01,0.000000000000000000e+00,2.987325920192052564e+00
2.700000000000000000e+01,0.000000000000000000e+00,2.990523774149876246e+00
2.800000000000000000e+01,0.000000000000000000e+00,2.898624208678035608e+00
2.900000000000000000e+01,0.000000000000000000e+00,-3.102281240797929218e+00
3.000000000000000000e+01,0.000000000000000000e+00,2.851575064957708072e+00
3.100000000000000000e+01,0.000000000000000000e+00,2.939322899305733650e+00
5.000000000000000000e-01,8.660254037844385966e-01,2.731587858187626949e+00
1.500000000000000000e+00,8.660254037844385966e-01,2.649090394441218521e+00
2.500000000000000000e+00,8.660254037844385966e-01,2.814926854756738095e+00
3.500000000000000000e+00,8.660254037844385966e-01,2.975752868900280568e+00
4.500000000000000000e+00,8.660254037844385966e-01,-3.092474856887947432e+00
