index,energy_per_site
0.000000000000000000e+00,-2.078508414931295734e-01
1.000000000000000000e+00,-1.267695812960492940e+00
2.000000000000000000e+00,-1.308546997803573531e+00
3.000000000000000000e+00,-1.224914763730482692e+00
4.000000000000000000e+00,-1.277957305004715938e+00
5.000000000000000000e+00,-1.320901525042954994e+00
6.000000000000000000e+00,-1.236738624521119378e+00
7.000000000000000000e+00,-1.321919826682521837e+00
8.000000000000000000e+00,-1.464486890838798239e+00
9.000000000000000000e+00,-1.286423362831195405e+00
