T,eta,eta_err,xi,xi_err
1.00000000e-05,1.58191782e-06,9.16957575e-08,4.81574440e+06,1.00340111e+05
5.00000000e-02,8.59834566e-03,3.68685341e-04,9.09182641e+02,2.99354964e+01
1.00000000e-01,1.26558643e-02,3.52857359e-04,6.35723831e+02,3.12316310e+01
2.00000000e-01,2.57371141e-02,1.07841902e-03,3.04993167e+02,1.11686502e+01
3.00000000e-01,5.05360943e-02,2.36982817e-03,1.53780243e+02,4.74400763e+00
4.00000000e-01,3.84458817e-02,6.05336890e-04,2.21823583e+02,1.86057336e+01
5.00000000e-01,5.06250054e-02,9.09154466e-04,1.61819395e+02,9.54792008e+00
6.00000000e-01,1.00695291e-01,6.90648875e-03,7.45699817e+01,1.66831165e+00
7.00000000e-01,1.42765108e-01,7.85658776e-03,5.36542355e+01,1.27760756e+00
8.00000000e-01,1.08475852e-01,3.92719054e-03,7.37843285e+01,3.70598326e+00
9.00000000e-01,1.07172054e-01,1.62839585e-03,7.70367631e+01,4.91102146e+00
1.00000000e+00,1.55885648e-01,3.51346654e-03,5.21409857e+01,2.85624992e+00
1.10000000e+00,2.08090472e-01,9.25999801e-03,3.74999613e+01,1.22942037e+00
1.20000000e+00,2.01227675e-01,8.53307081e-03,3.90040409e+01,1.44525172e+00
1.30000000e+00,3.19186567e-01,1.56517735e-02,2.42539787e+01,7.00858189e-01
1.40000000e+00,4.13624511e-01,2.64111950e-02,1.82334728e+01,3.07160886e-01
1.50000000e+00,4.83661866e-01,3.08623011e-02,1.56480147e+01,3.71181974e-01
1.60000000e+00,6.19622615e-01,2.90620031e-02,1.25455622e+01,3.91578388e-01
1.70000000e+00,1.31323314e+00,1.12217189e-01,5.56859312e+00,1.41535615e-01
2.00000000e+00,1.97013444e+00,2.85607920e-01,2.40018542e+00,1.71702132e-01
