index,energy_per_site
0.000000000000000000e+00,-2.828286213700113017e-01
1.000000000000000000e+00,-2.835710765238591780e+00
2.000000000000000000e+00,-2.838946385034990971e+00
3.000000000000000000e+00,-2.834929339455834807e+00
4.000000000000000000e+00,-2.834898771195613953e+00
5.000000000000000000e+00,-2.833939534145271111e+00
6.000000000000000000e+00,-2.838548440943426510e+00
7.000000000000000000e+00,-2.831546052047975603e+00
8.000000000000000000e+00,-2.837605124789372990e+00
9.000000000000000000e+00,-2.836696416202575399e+00
