T,chi,chi_err
1.00000000e-05,1.43033228e-04,6.39984112e-06
5.00000000e-02,3.77248860e-01,1.68795238e-02
1.00000000e-01,1.13919776e+00,5.09719649e-02
2.00000000e-01,2.60456961e+00,1.16538178e-01
3.00000000e-01,1.84590765e+00,8.25928063e-02
4.00000000e-01,3.31257421e+00,1.48216949e-01
5.00000000e-01,2.69911004e+00,1.20768270e-01
6.00000000e-01,1.11047056e+01,4.96866027e-01
7.00000000e-01,1.45865384e+01,6.52656238e-01
8.00000000e-01,6.48725303e+00,2.90263944e-01
9.00000000e-01,9.42778593e+00,4.21834374e-01
1.00000000e+00,4.28558446e+00,1.91753064e-01
1.10000000e+00,4.46646188e+00,1.99846196e-01
1.20000000e+00,1.35344845e+01,6.05583415e-01
1.30000000e+00,6.23598913e+00,2.79021458e-01
1.40000000e+00,1.63440569e+01,7.31294183e-01
1.50000000e+00,1.78727753e+01,7.99694756e-01
1.60000000e+00,2.15719660e+01,9.65210372e-01
1.70000000e+00,1.64122381e+01,7.34344866e-01
2.00000000e+00,3.11015048e+00,1.39159755e-01
